,OrderDate,Product,Quantity
0,01/01/2020,VIS Viroshield Surface Disinfectant 250ml,33
1,04/01/2020,VIS Viroshield Surface Disinfectant 500ml,87
2,07/01/2020,VIS Viroshield Fabric Conditioner 1Ltr,58
3,10/01/2020,VIS Viroshield Fabric Conditioner 1Ltr,82
4,13/01/2020,VIS Viroshield Surface Disinfectant 100ml,38
5,16/01/2020,VIS Viroshield Surface Disinfectant 250ml,54
6,19/01/2020,VIS Viroshield Surface Disinfectant 500ml,149
7,22/01/2020,VIS Viroshield Surface Disinfectant 250ml,51
8,25/01/2020,VIS Viroshield Surface Disinfectant 250ml,100
9,28/01/2020,VIS Viroshield Surface Disinfectant 1Ltr,28
10,31/01/2020,VIS Viroshield Surface Disinfectant 100ml,36
11,03/02/2020,VIS Viroshield Fabric Conditioner 1Ltr,31
12,06/02/2020,VIS Viroshield Surface Disinfectant 500ml,28
13,09/02/2020,VIS Viroshield Surface Disinfectant 250ml,44
14,12/02/2020,VIS Viroshield Surface Disinfectant 250ml,23
15,15/02/2020,VIS Viroshield Surface Disinfectant 1Ltr,27
16,18/02/2020,VIS Viroshield Surface Disinfectant 100ml,43
17,21/02/2020,VIS Viroshield Surface Disinfectant 5Ltr,123
18,24/02/2020,VIS Viroshield Air Care 100ml,42
19,27/02/2020,VIS Viroshield Surface Disinfectant 5Ltr,33
20,02/03/2020,VIS Viroshield Fabric Conditioner 1Ltr,85
21,05/03/2020,VIS Viroshield Surface Disinfectant 5Ltr,30
22,08/03/2020,VIS Viroshield Surface Disinfectant 250ml,61
23,11/03/2020,VIS Viroshield Surface Disinfectant 500ml,40
24,14/03/2020,VIS Viroshield Fabric Conditioner 1Ltr,86
25,17/03/2020,VIS Viroshield Surface Disinfectant 250ml,38
26,20/03/2020,VIS Viroshield Surface Disinfectant 1Ltr,68
27,23/03/2020,VIS Viroshield Fabric Conditioner 1Ltr,39
28,26/03/2020,VIS Viroshield Air Care 100ml,103
29,29/03/2020,VIS Viroshield Surface Disinfectant 5Ltr,193
30,01/04/2020,VIS Viroshield Surface Disinfectant 250ml,58
31,04/04/2020,VIS Viroshield Surface Disinfectant 1Ltr,68
32,07/04/2020,VIS Viroshield Surface Disinfectant 250ml,91
33,10/04/2020,VIS Viroshield Surface Disinfectant 500ml,23
34,13/04/2020,VIS Viroshield Surface Disinfectant 1Ltr,28
35,16/04/2020,VIS Viroshield Surface Disinfectant 250ml,48
36,19/04/2020,VIS Viroshield Surface Disinfectant 1Ltr,134
37,22/04/2020,VIS Viroshield Surface Disinfectant 250ml,20
38,25/04/2020,VIS Viroshield Surface Disinfectant 250ml,53
39,28/04/2020,VIS Viroshield Surface Disinfectant 1Ltr,64
40,01/05/2020,VIS Viroshield Fabric Conditioner 1Ltr,63
41,04/05/2020,VIS Viroshield Air Care 100ml,105
42,07/05/2020,VIS Viroshield Surface Disinfectant 5Ltr,138
43,10/05/2020,VIS Viroshield Surface Disinfectant 250ml,25
44,13/05/2020,VIS Viroshield Surface Disinfectant 500ml,21
45,16/05/2020,VIS Viroshield Surface Disinfectant 250ml,61
46,19/05/2020,VIS Viroshield Surface Disinfectant 1Ltr,49
47,22/05/2020,VIS Viroshield Fabric Conditioner 1Ltr,55
48,25/05/2020,VIS Viroshield Surface Disinfectant 100ml,27
49,28/05/2020,VIS Viroshield Surface Disinfectant 250ml,58
50,31/05/2020,VIS Viroshield Surface Disinfectant 500ml,33
51,03/06/2020,VIS Viroshield Surface Disinfectant 5Ltr,288
52,06/06/2020,VIS Viroshield Fabric Conditioner 1Ltr,76
53,09/06/2020,VIS Viroshield Surface Disinfectant 250ml,42
54,12/06/2020,VIS Viroshield Surface Disinfectant 500ml,20
55,15/06/2020,VIS Viroshield Surface Disinfectant 250ml,75
56,18/06/2020,VIS Viroshield Surface Disinfectant 500ml,38
57,21/06/2020,VIS Viroshield Surface Disinfectant 250ml,306
58,24/06/2020,VIS Viroshield Surface Disinfectant 1Ltr,28
59,27/06/2020,VIS Viroshield Air Care 100ml,110
60,30/06/2020,VIS Viroshield Surface Disinfectant 5Ltr,51
61,03/07/2020,VIS Viroshield Surface Disinfectant 250ml,52
62,06/07/2020,VIS Viroshield Surface Disinfectant 500ml,28
63,09/07/2020,VIS Viroshield Surface Disinfectant 250ml,136
64,12/07/2020,VIS Viroshield Surface Disinfectant 500ml,42
65,15/07/2020,VIS Viroshield Fabric Conditioner 1Ltr,75
66,18/07/2020,VIS Viroshield Air Care 100ml,72
67,21/07/2020,VIS Viroshield Surface Disinfectant 5Ltr,56
68,24/07/2020,VIS Viroshield Air Care 100ml,51
69,27/07/2020,VIS Viroshield Surface Disinfectant 1Ltr,31
70,30/07/2020,VIS Viroshield Air Care 100ml,56
71,02/08/2020,VIS Viroshield Surface Disinfectant 5Ltr,137
72,05/08/2020,VIS Viroshield Fabric Conditioner 1Ltr,107
73,08/08/2020,VIS Viroshield Surface Disinfectant 250ml,24
74,11/08/2020,VIS Viroshield Surface Disinfectant 500ml,30
75,14/08/2020,VIS Viroshield Fabric Conditioner 1Ltr,70
76,17/08/2020,VIS Viroshield Surface Disinfectant 100ml,31
77,20/08/2020,VIS Viroshield Surface Disinfectant 250ml,109
78,23/08/2020,VIS Viroshield Surface Disinfectant 500ml,21
79,26/08/2020,VIS Viroshield Fabric Conditioner 1Ltr,80
80,29/08/2020,VIS Viroshield Air Care 100ml,75
81,01/09/2020,VIS Viroshield Surface Disinfectant 5Ltr,74
82,04/09/2020,VIS Viroshield Surface Disinfectant 250ml,45
83,07/09/2020,VIS Viroshield Surface Disinfectant 100ml,28
84,10/09/2020,VIS Viroshield Surface Disinfectant 250ml,143
85,13/09/2020,VIS Viroshield Surface Disinfectant 1Ltr,27
86,16/09/2020,VIS Viroshield Surface Disinfectant 250ml,133
87,19/09/2020,VIS Viroshield Surface Disinfectant 100ml,110
88,22/09/2020,VIS Viroshield Fabric Conditioner 1Ltr,65
89,25/09/2020,VIS Viroshield Air Care 100ml,33
90,28/09/2020,VIS Viroshield Surface Disinfectant 100ml,81
91,01/10/2020,VIS Viroshield Surface Disinfectant 250ml,77
92,04/10/2020,VIS Viroshield Surface Disinfectant 500ml,38
93,07/10/2020,VIS Viroshield Surface Disinfectant 250ml,40
94,10/10/2020,VIS Viroshield Surface Disinfectant 1Ltr,114
95,13/10/2020,VIS Viroshield Surface Disinfectant 100ml,224
96,16/10/2020,VIS Viroshield Surface Disinfectant 250ml,141
97,19/10/2020,VIS Viroshield Surface Disinfectant 500ml,32
98,22/10/2020,VIS Viroshield Surface Disinfectant 250ml,20
99,25/10/2020,VIS Viroshield Surface Disinfectant 100ml,40
100,28/10/2020,VIS Viroshield Fabric Conditioner 1Ltr,49
101,31/10/2020,VIS Viroshield Surface Disinfectant 500ml,46
102,03/11/2020,VIS Viroshield Surface Disinfectant 250ml,39
103,06/11/2020,VIS Viroshield Surface Disinfectant 1Ltr,62
104,09/11/2020,VIS Viroshield Surface Disinfectant 250ml,90
105,12/11/2020,VIS Viroshield Surface Disinfectant 100ml,103
106,15/11/2020,VIS Viroshield Surface Disinfectant 5Ltr,32
107,18/11/2020,VIS Viroshield Air Care 100ml,66
108,21/11/2020,VIS Viroshield Surface Disinfectant 5Ltr,97
109,24/11/2020,VIS Viroshield Surface Disinfectant 250ml,30
110,27/11/2020,VIS Viroshield Surface Disinfectant 1Ltr,29
111,30/11/2020,VIS Viroshield Surface Disinfectant 250ml,92
112,03/12/2020,VIS Viroshield Surface Disinfectant 100ml,139
113,06/12/2020,VIS Viroshield Surface Disinfectant 5Ltr,29
114,09/12/2020,VIS Viroshield Surface Disinfectant 500ml,30
115,12/12/2020,VIS Viroshield Fabric Conditioner 1Ltr,36
116,15/12/2020,VIS Viroshield Surface Disinfectant 500ml,41
117,18/12/2020,VIS Viroshield Surface Disinfectant 250ml,44
118,21/12/2020,VIS Viroshield Surface Disinfectant 1Ltr,29
119,24/12/2020,VIS Viroshield Surface Disinfectant 100ml,237
120,27/12/2020,VIS Viroshield Fabric Conditioner 1Ltr,65
121,30/12/2020,VIS Viroshield Surface Disinfectant 100ml,83
122,02/01/2021,VIS Viroshield Surface Disinfectant 100ml,32
123,05/01/2021,VIS Viroshield Surface Disinfectant 250ml,63
124,08/01/2021,VIS Viroshield Surface Disinfectant 1Ltr,29
125,11/01/2021,VIS Viroshield Air Care 100ml,77
126,14/01/2021,VIS Viroshield Surface Disinfectant 5Ltr,80
127,17/01/2021,VIS Viroshield Surface Disinfectant 250ml,102
128,20/01/2021,VIS Viroshield Surface Disinfectant 500ml,31
129,23/01/2021,VIS Viroshield Surface Disinfectant 250ml,56
130,26/01/2021,VIS Viroshield Surface Disinfectant 100ml,52
131,29/01/2021,VIS Viroshield Surface Disinfectant 250ml,51
132,01/02/2021,VIS Viroshield Surface Disinfectant 1Ltr,24
133,04/02/2021,VIS Viroshield Surface Disinfectant 100ml,58
134,07/02/2021,VIS Viroshield Fabric Conditioner 1Ltr,34
135,10/02/2021,VIS Viroshield Surface Disinfectant 250ml,34
136,13/02/2021,VIS Viroshield Surface Disinfectant 1Ltr,21
137,16/02/2021,VIS Viroshield Surface Disinfectant 5Ltr,29
138,19/02/2021,VIS Viroshield Surface Disinfectant 250ml,68
139,22/02/2021,VIS Viroshield Surface Disinfectant 1Ltr,31
140,25/02/2021,VIS Viroshield Surface Disinfectant 100ml,30
141,28/02/2021,VIS Viroshield Fabric Conditioner 1Ltr,232
142,02/03/2021,VIS Viroshield Air Care 100ml,68
143,05/03/2021,VIS Viroshield Surface Disinfectant 5Ltr,97
144,08/03/2021,VIS Viroshield Air Care 100ml,86
145,11/03/2021,VIS Viroshield Surface Disinfectant 1Ltr,41
146,14/03/2021,VIS Viroshield Surface Disinfectant 250ml,93
147,17/03/2021,VIS Viroshield Surface Disinfectant 1Ltr,47
148,20/03/2021,VIS Viroshield Surface Disinfectant 250ml,103
149,23/03/2021,VIS Viroshield Surface Disinfectant 1Ltr,33
150,26/03/2021,VIS Viroshield Air Care 100ml,57
151,29/03/2021,VIS Viroshield Surface Disinfectant 5Ltr,65
152,01/04/2021,VIS Viroshield Surface Disinfectant 250ml,118
153,04/04/2021,VIS Viroshield Surface Disinfectant 100ml,36
154,07/04/2021,VIS Viroshield Surface Disinfectant 5Ltr,123
155,10/04/2021,VIS Viroshield Surface Disinfectant 250ml,90
156,13/04/2021,VIS Viroshield Surface Disinfectant 500ml,21
157,16/04/2021,VIS Viroshield Surface Disinfectant 250ml,48
158,19/04/2021,VIS Viroshield Surface Disinfectant 1Ltr,24
159,22/04/2021,VIS Viroshield Fabric Conditioner 1Ltr,67
160,25/04/2021,VIS Viroshield Air Care 100ml,27
161,28/04/2021,VIS Viroshield Surface Disinfectant 5Ltr,129
162,01/05/2021,VIS Viroshield Surface Disinfectant 100ml,77
163,04/05/2021,VIS Viroshield Fabric Conditioner 1Ltr,58
164,07/05/2021,VIS Viroshield Air Care 100ml,47
165,10/05/2021,VIS Viroshield Surface Disinfectant 5Ltr,33
166,13/05/2021,VIS Viroshield Fabric Conditioner 1Ltr,82
167,16/05/2021,VIS Viroshield Surface Disinfectant 250ml,58
168,19/05/2021,VIS Viroshield Surface Disinfectant 1Ltr,30
169,22/05/2021,VIS Viroshield Fabric Conditioner 1Ltr,43
170,25/05/2021,VIS Viroshield Surface Disinfectant 250ml,84
171,28/05/2021,VIS Viroshield Surface Disinfectant 100ml,36
172,31/05/2021,VIS Viroshield Surface Disinfectant 5Ltr,44
173,03/06/2021,VIS Viroshield Air Care 100ml,27
174,06/06/2021,VIS Viroshield Surface Disinfectant 5Ltr,120
175,09/06/2021,VIS Viroshield Surface Disinfectant 500ml,26
176,12/06/2021,VIS Viroshield Surface Disinfectant 250ml,73
177,15/06/2021,VIS Viroshield Air Care 100ml,38
178,18/06/2021,VIS Viroshield Surface Disinfectant 5Ltr,40
179,21/06/2021,VIS Viroshield Surface Disinfectant 250ml,41
180,24/06/2021,VIS Viroshield Surface Disinfectant 500ml,27
181,27/06/2021,VIS Viroshield Fabric Conditioner 1Ltr,38
